x = 0, f = 0.0 
x = 1.0, f = 0.7080734182735712 
x = 2.0, f = 0.826821810431806 
x = 3.0, f = 0.01991485667481699 
x = 4.0, f = 0.5727500169043067 
x = 5.0, f = 0.9195357645382262 
x = 6.0, f = 0.07807302063375395 
x = 7.0, f = 0.43163139089608316 
x = 8.0, f = 0.9788297401616923 
x = 9.0, f = 0.16984164587795994 
